Folder,Survey,Date,Year,Month,Weeknumber,Day,Weekday,Hour,Very negative,Very negative %,Negative,Negative %,Positive,Positive %,Very positive,Very positive %,Total,Index,Net Promoter Score(tm),Reds %,Greens %
601 Marshall,Please rate our service today. ,03/12/2018,2018,December,49,03,Monday,-,0,0,0,0,0,0,8,100,8,100,100,0,100
601 Marshall,Please rate our service today. ,04/12/2018,2018,December,49,04,Tuesday,-,0,0,1,6.67,1,6.67,13,86.67,15,93,80,6.67,93.33
601 Marshall,Please rate our service today. ,05/12/2018,2018,December,49,05,Wednesday,-,0,0,1,8.33,0,0,11,91.67,12,94,83,8.33,91.67
601 Marshall,Please rate our service today. ,06/12/2018,2018,December,49,06,Thursday,-,0,0,1,10,0,0,9,90,10,93,80,10,90
601 Marshall,Please rate our service today. ,07/12/2018,2018,December,49,07,Friday,-,0,0,1,12.5,0,0,7,87.5,8,92,75,12.5,87.5
601 Marshall,Please rate our service today. ,10/12/2018,2018,December,50,10,Monday,-,0,0,1,14.29,0,0,6,85.71,7,90,71,14.29,85.71
601 Marshall,Please rate our service today. ,11/12/2018,2018,December,50,11,Tuesday,-,1,11.11,0,0,0,0,8,88.89,9,89,78,11.11,88.89
601 Marshall,Please rate our service today. ,12/12/2018,2018,December,50,12,Wednesday,-,0,0,0,0,3,20,12,80,15,93,80,0,100
601 Marshall,Please rate our service today. ,13/12/2018,2018,December,50,13,Thursday,-,1,9.09,0,0,0,0,10,90.91,11,91,82,9.09,90.91
601 Marshall,Please rate our service today. ,14/12/2018,2018,December,50,14,Friday,-,0,0,0,0,1,12.5,7,87.5,8,96,88,0,100
601 Marshall,Please rate our service today. ,17/12/2018,2018,December,51,17,Monday,-,0,0,0,0,1,12.5,7,87.5,8,96,88,0,100
601 Marshall,Please rate our service today. ,18/12/2018,2018,December,51,18,Tuesday,-,0,0,0,0,1,11.11,8,88.89,9,96,89,0,100
601 Marshall,Please rate our service today. ,19/12/2018,2018,December,51,19,Wednesday,-,0,0,1,8.33,0,0,11,91.67,12,94,83,8.33,91.67
601 Marshall,Please rate our service today. ,20/12/2018,2018,December,51,20,Thursday,-,1,4.55,0,0,1,4.55,20,90.91,22,94,86,4.55,95.45
601 Marshall,Please rate our service today. ,21/12/2018,2018,December,51,21,Friday,-,0,0,0,0,2,16.67,10,83.33,12,94,83,0,100
